filename,original_path,doc_kind,extraction_status,proposed_bucket,reason
ONT - Annual Results for the year ended 31 December 2022.pdf,3. Monitoring\ONT - Annual Results for the year ended 31 December 2022.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
Oxford Nanopore Technologies plc (ONTTF...pdf,3. Monitoring\Q3 2022\Oxford Nanopore Technologies plc (ONTTF...pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
Oxford Nanopore Technologies plc Interim Results filed on 9_13_2022 10_00 AM.pdf,3. Monitoring\Q3 2022\Oxford Nanopore Technologies plc Interim Results filed on 9_13_2022 10_00 AM.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
Oxford Nanopore Technologies plc LSE ONT Financials Annual.xls,3. Monitoring\Q3 2022\Oxford Nanopore Technologies plc LSE ONT Financials Annual.xls,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore Technologies plc LSE ONT Financials Quarterly..xls,3. Monitoring\Q3 2022\Oxford Nanopore Technologies plc LSE ONT Financials Quarterly..xls,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore Technologies plc Transcript 13 Sep.docx,3. Monitoring\Q3 2022\Oxford Nanopore Technologies plc Transcript 13 Sep.docx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
Shareholder Resolutions May 2021 G42.msg,3. Monitoring\Shareholder Resolutions May 2021 G42.msg,shareholder_document,extracted_text,03_Board_and_IC,name:'resolution'
Exec Shareholding.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Exec Shareholding.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
01.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\01.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
02.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\02.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
03.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\03.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
04.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\04.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
05.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\05.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
06.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\06.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
07.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\07.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
08.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\08.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
09.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\09.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
10.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\10.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
11.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\11.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
12.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\12.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
13.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\13.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
14.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\14.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
15.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\15.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
16.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\16.bmp,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
Mercer Report.pdf,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\Mercer Report.pdf,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
Mercer.docx,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\Mercer.docx,shareholder_document,manual_review_required,03_Board_and_IC,kind:shareholder_document
